index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,Density,soil_name,SMCg,Sand,Clay,Silt,TT
2681,0.019972736,0.022590712,0.040634826,0.042887554,0.035853133,0.033697717,0.07606782,0.29858455,2.112406368,50.5541416,40.64340194,0.03445732,0.007522022,1.060756343,0.338449296,3.193423055,0.416198187,352.9616914,30VigneC,23.32371537,277,185,538,930
2682,0.021838056,0.023514012,0.050353017,0.05007054,0.037484273,0.03125716,0.08610009,0.2810695,1.348466062,25.29437353,44.43105598,0.047239924,0.011707567,1.436693032,0.074710583,1.98656784,0.368232361,352.9616914,31Sorgho,14.87807552,264,380,356,829
2683,0.01676205,0.018898632,0.06266837,0.059476122,0.03623505,0.019717392,0.102736786,0.40546674,3.684952034,29.60608596,41.96157132,0.040047383,0.009315577,2.33807242,0.29815723,4.262310734,0.251773785,352.9616914,31Sorgho,7.8861722,264,380,356,1085
2684,0.015424045,0.016517138,0.03832698,0.0422217,0.02937342,0.021479482,0.07449282,0.26336884,2.327096964,40.42316059,31.23127786,0.043904171,0.009206188,0.998889915,0.278277801,3.597513126,0.394238586,352.9616914,31Sorgho,22.2017012,264,380,356,960
2685,0.016506758,0.01773224,0.04884647,0.047119446,0.030332536,0.02029291,0.082760476,0.29311925,2.977208099,52.02094564,42.11279085,0.04619769,0.013294696,1.86087243,0.10325678,4.470388428,0.232517435,352.9616914,31Sorgho,21.69654003,264,380,356,1017
2686,0.017330676,0.016960155,0.046916094,0.039105434,0.022075504,0.014707019,0.07403943,0.3848535,4.519323593,33.71428382,56.17788423,0.050697104,0.011181827,1.85995711,0.332035159,2.844980636,0.245020266,352.9616914,31Sorgho,8.784796509,264,380,356,1164
2687,0.01799605,0.018064195,0.04965964,0.0455484,0.02664673,0.017381964,0.08413949,0.43108615,4.735162207,47.46016588,44.52998275,0.041974416,0.005716431,1.63170569,0.42949756,1.407115037,0.420335134,352.9616914,31Sorgho,13.9700123,264,380,356,1196
2688,0.014613861,0.014095265,0.02962919,0.025897628,0.016552594,0.013308384,0.05055968,0.3086088,3.905361805,22.74195079,53.79325535,0.038946026,0.009748855,0.957324423,0.174462771,0.918504736,0.288007598,352.9616914,31Sorgho,9.110455084,264,380,356,1105
2689,0.03604024,0.04376481,0.081522465,0.11721942,0.10516845,0.08664977,0.16517922,0.25053304,0.9069512,53.93917612,10.45230926,0.038584779,0.003730795,1.004085432,0.317233199,3.951273851,0.349579782,352.9616914,31Sorgho,7.512214929,264,380,356,725
2690,0.017338479,0.01698538,0.045381144,0.0413769,0.023954937,0.01588644,0.07865792,0.41470858,4.55894157,24.74493213,45.12464409,0.03660461,0.006049867,1.426768972,0.431998373,4.399062536,0.363705702,352.9616914,31Sorgho,13.7887228,264,380,356,1169
2691,0.016022526,0.015609279,0.035084058,0.031864546,0.019838816,0.015115186,0.06180708,0.32906675,3.781656319,23.22422152,48.31351723,0.050091859,0.013775476,1.073369209,0.249964887,3.755257441,0.482864885,352.9616914,31Tournesol,11.59192516,304,285,411,1094
2692,0.03535919,0.043727696,0.07624061,0.08494373,0.08265818,0.084094405,0.13007343,0.2931633,0.87567253,38.62753904,50.94329661,0.030972048,0.006068512,1.750826098,0.469521845,3.548433253,0.465602706,352.9616914,31Tournesol,23.35229518,304,285,411,681
2693,0.021894582,0.02619898,0.06216444,0.06778927,0.053170033,0.04222985,0.10820576,0.27718806,2.107989467,55.75185684,34.50045311,0.051736564,0.015816194,1.964799897,0.388425396,0.969744776,0.373591728,352.9616914,31Tournesol,23.72673565,304,285,411,929
2694,0.016342778,0.018043349,0.061545447,0.056156103,0.03287758,0.017019948,0.09819915,0.44475165,4.639593174,36.56076865,45.33876441,0.037788059,0.008366422,2.376230834,0.076932291,4.250613341,0.402605551,352.9616914,31Tournesol,21.69109104,304,285,411,1179
2695,0.017179139,0.016878448,0.04276687,0.043185383,0.025398213,0.016451383,0.08070914,0.34736335,4.48091747,41.24468006,35.88389265,0.054393825,0.013056954,1.215918256,0.472392953,3.539114102,0.343421501,352.9616914,31Tournesol,13.19195989,304,285,411,1159
2696,0.04087734,0.050851386,0.08028854,0.091662936,0.094489135,0.099709325,0.13239215,0.25374237,0.777516896,41.09258782,56.59847663,0.046374159,0.008777015,1.762926982,0.251344973,3.61173871,0.204467058,352.9616914,31Tournesol,23.42656953,304,285,411,625
2697,0.016600331,0.01776929,0.05127571,0.05064332,0.0324059,0.021316115,0.09033899,0.32676134,3.616891601,36.0780601,40.08201347,0.044633207,0.012832175,1.715794089,0.426015767,3.436229402,0.348057301,352.9616914,31Tournesol,17.50248708,304,285,411,1079
2698,0.015839513,0.016896684,0.06017925,0.05687756,0.03249888,0.016298277,0.10410789,0.47797197,4.688369086,22.82020536,41.51838924,0.040054301,0.01041517,2.017320259,0.143963433,2.364488753,0.34871752,352.9616914,31Tournesol,9.087926106,304,285,411,1185
2699,0.04292824,0.054523923,0.09664265,0.11213928,0.108324334,0.10522302,0.16427182,0.30937868,0.920685361,25.67059088,35.19183919,0.041691167,0.007755991,2.222609022,0.170388762,2.465419183,0.368215846,352.9616914,31Tournesol,11.16895448,304,285,411,724
2700,0.03731738,0.043235824,0.07682533,0.08146315,0.072712034,0.06842856,0.12517406,0.33268812,1.156122421,40.29500388,45.23930915,0.033726052,0.002957237,1.908676023,0.381424436,0.858890587,0.249216817,352.9616914,11Malves,39.81254654,609,109,282,768
2701,0.016351946,0.016266009,0.03894184,0.047743335,0.028947895,0.017338255,0.08702445,0.28856915,3.754826726,52.55714963,24.31645971,0.041323728,0.008457547,0.831602728,0.25480831,1.578734323,0.433661616,352.9616914,11Malves,11.44283549,609,109,282,1091
2702,0.03286843,0.036594268,0.070018716,0.0786508,0.06349176,0.05338451,0.12609479,0.33939636,1.454634846,30.41156234,31.16231616,0.031502281,0.006062903,1.131128366,0.167084338,3.045056118,0.459722608,352.9616914,11Malves,32.92560588,609,109,282,847
2703,0.030530013,0.037659988,0.086459026,0.09894489,0.0786746,0.05904114,0.15143692,0.36190346,1.858089699,49.59267885,27.45351451,0.04630293,0.007460214,2.371998178,0.493802039,0.997093589,0.385338039,352.9616914,11Malves,30.91826752,609,109,282,894
2704,0.04584025,0.054526534,0.09339995,0.10587787,0.09729983,0.09001716,0.15592456,0.3225109,0.946467881,36.10867526,32.55710937,0.032256142,0.007496534,1.949698739,0.493428492,2.462111294,0.274257858,352.9616914,11Malves,24.42439205,609,109,282,712
2705,0.043926705,0.05277363,0.08446443,0.09852456,0.09510996,0.09203087,0.14353184,0.2636318,0.754991113,36.02863772,29.5569083,0.037192548,0.014835192,1.572444043,0.421977506,4.357081039,0.418052248,352.9616914,11Malves,40.17977473,609,109,282,637
2706,0.037372652,0.04494201,0.08337815,0.09251404,0.08232976,0.07383217,0.13838084,0.2899018,1.028303584,36.40658633,34.93463154,0.045853103,0.012429225,2.177216931,0.361397343,2.514401546,0.42595429,352.9616914,11Malves,40.17155491,609,109,282,751
2707,0.018226966,0.018988442,0.05753967,0.062290315,0.037240446,0.020458367,0.10910255,0.40328127,4.615660343,53.4112875,30.29002454,0.054847111,0.010902279,1.497214704,0.448964651,1.020971615,0.206697188,352.9616914,11Malves,4.222377469,609,109,282,1176
2708,0.018688515,0.02163126,0.07487222,0.07448687,0.045471024,0.022398574,0.122379914,0.4334323,4.591254888,34.689382,36.0915996,0.039928181,0.010432753,2.327957581,0.219629373,3.266013531,0.303176448,352.9616914,11Malves,37.42766398,609,109,282,1173
2709,0.050115976,0.06024947,0.09183568,0.105735615,0.102387056,0.10011119,0.15327492,0.2610792,0.739398889,31.6792043,27.7671626,0.053749551,0.015194555,1.219917358,0.288137383,2.105288728,0.324950766,352.9616914,81Lautrec,21.48542653,239,358,403,642
2710,0.031072756,0.03656083,0.06332567,0.064786,0.05882801,0.057025958,0.099273846,0.24326192,0.922608819,40.82418682,53.86276317,0.047568946,0.008229192,2.303273412,0.325466877,2.891339615,0.477338841,352.9616914,81Lautrec,33.66372606,239,358,403,698
2711,0.01661223,0.018099869,0.052082766,0.053789545,0.03417023,0.021624058,0.09631658,0.36068362,3.100349659,50.4914628,35.06921092,0.030514823,0.00756904,1.636272313,0.466769323,2.625179696,0.225473314,352.9616914,81Lautrec,34.05879029,239,358,403,1029
2712,0.02550163,0.029189529,0.069048844,0.07011677,0.05164391,0.037224565,0.1124787,0.3274351,1.367524973,34.83519166,38.80540934,0.036232408,0.006591651,2.441494638,0.126041114,3.774564645,0.458414052,352.9616914,81Lautrec,14.17672244,239,358,403,833
2713,0.020593124,0.022789044,0.070388205,0.06939265,0.04307869,0.024256904,0.116512045,0.38166896,4.387590754,65.08569104,37.80164762,0.049982988,0.014550308,2.053749643,0.492919909,4.486869599,0.263452759,352.9616914,81Lautrec,25.18983412,239,358,403,1146
2714,0.04415279,0.05313096,0.0901807,0.099921755,0.091843545,0.085614055,0.14659429,0.27096763,0.84091793,32.37919329,33.23530041,0.042087683,0.007915071,2.100459678,0.093913355,3.054905423,0.434928836,352.9616914,81Lautrec,19.06350843,239,358,403,669
2715,0.023530489,0.026359856,0.053892173,0.05647012,0.043891426,0.036877934,0.09234706,0.27913982,1.788085326,54.97686276,36.91430105,0.061473349,0.014285886,1.537134741,0.416891599,1.884814191,0.466750291,352.9616914,81Lautrec,32.73298529,239,358,403,887
2716,0.03072404,0.034789857,0.05331452,0.05635665,0.05182092,0.05197336,0.08884954,0.24401306,1.335616868,44.31354415,45.10693402,0.046708505,0.010736837,1.009398889,0.167416399,2.415653224,0.27716295,352.9616914,81Lautrec,25.20611031,239,358,403,799
2717,0.01933609,0.021224925,0.040700376,0.044469062,0.034432657,0.029167822,0.07660062,0.24578989,2.205008271,49.43747317,33.04360539,0.038980002,0.011251033,1.040933972,0.372460868,2.388679244,0.432861508,352.9616914,81Lautrec,23.25989862,239,358,403,944
2718,0.03908045,0.044514306,0.06424562,0.07439676,0.080495335,0.0873352,0.124015994,0.22938965,0.770342274,61.92940742,42.54807949,0.042923618,0.009115426,1.505618662,0.341947884,2.939520416,0.45265201,352.9616914,13Crau1,12.15828572,396,271,333,622
2719,0.018347183,0.019446075,0.05755721,0.050148997,0.03087415,0.019724876,0.08883572,0.42045942,4.74322628,65.89793139,54.0660993,0.039737227,0.006782293,2.342895595,0.189805486,4.435193384,0.369403865,352.9616914,13Crau1,15.87870743,396,271,333,1197
